x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
326,268,53,51,668,-8.375,27.7037037037,1342.6875,2100.62962963,-2.83275462963,-1133.0,7097.03703704,74,1946,90,2663,A
262,268,49,52,557,-4.046875,23.5185185185,1077.359375,1356.44444444,0.576678240741,-4771.234375,6151.96296296,72,1834,61,1861,A
184,261,61,58,1149,32.25,59.8703703704,2665.125,2740.72222222,6.36516203704,3309.9375,11485.9814815,61,1494,62,1854,A
392,259,55,60,763,-11.75,37.2962962963,1741.6875,1789.59259259,0.0868055555556,-5927.46875,8085.18518519,68,1683,66,1987,A
105,257,57,63,1076,-1.265625,40.5555555556,2785.328125,2562.51851852,-0.285011574074,-703.265625,8385.22222222,68,1709,64,1984,A
348,168,49,58,1037,-9.828125,21.5,2240.296875,2492.01851852,0.769675925926,-3958.296875,3152.72222222,69,1726,60,1819,A
267,165,61,63,493,17.3125,19.9074074074,1519.40625,1134.64814815,3.04947916667,4244.59375,4970.01851852,76,1956,71,2258,A
442,164,44,60,1206,22.3125,16.462962963,2755.71875,2927.57407407,2.84490740741,4104.75,4629.01851852,65,1637,53,1652,A
185,164,64,63,642,5.140625,31.5555555556,1636.859375,1464.44444444,0.741898148148,88.671875,6229.33333333,75,1900,67,2069,A
106,163,60,63,802,43.515625,34.9259259259,2566.546875,1916.11111111,8.97366898148,10837.609375,8124.59259259,76,1920,74,2204,A
397,87,49,59,684,39.125,6.12962962963,1915.90625,1411.7962963,16.7054398148,7364.5625,909.685185185,75,1902,80,2555,A
340,87,42,58,1075,-1.46875,51.4074074074,2227.65625,2514.2962963,0.630787037037,-2025.34375,10627.5185185,63,1541,59,1870,A
175,87,64,74,612,61.796875,-1.09259259259,2412.796875,1096.5,17.787037037,26436.953125,-294.537037037,66,1813,75,2479,A
98,86,54,60,873,73.21875,35.8888888889,2355.9375,1832.18518519,15.0515046296,17027.34375,7361.11111111,63,1528,58,1886,A
262,84,53,62,907,34.34375,31.037037037,2321.25,1969.66666667,5.85792824074,7969.4375,7167.25925926,68,1671,59,1864,A
341,15,59,53,438,20.28125,5.40740740741,1146.3125,806.888888889,1.51070601852,4661.65625,512.296296296,71,1843,77,2601,A
266,10,57,56,597,61.015625,32.0925925926,1911.703125,1559.2037037,10.0008680556,18758.609375,8945.98148148,77,1950,102,3540,A
109,5,54,60,964,48.640625,-7.40740740741,3196.484375,2232.14814815,16.4348958333,15036.265625,-2384.62962963,76,1943,77,2552,A
421,3,67,64,682,21.546875,47.2037037037,1843.734375,1673.98148148,5.69907407407,5364.828125,11062.2037037,74,1811,69,2195,A
176,0,76,72,765,34.15625,18.962962963,2197.53125,1614.2962963,-3.1244212963,11386.25,-650.481481481,74,1989,79,2536,A
321,268,46,51,814,9.078125,4.2962962963,2408.609375,2690.25925926,-2.26273148148,5752.671875,1909.40740741,70,1888,115,3656,B
259,268,40,51,841,15.578125,-3.05555555556,1929.515625,2439.5,-2.76388888889,8461.328125,-1177.16666667,73,1968,95,3123,B
185,261,54,66,1453,-0.953125,-22.0925925926,4075.984375,4048.31481481,14.4085648148,3213.921875,-5388.64814815,71,1904,98,3152,B
387,259,42,60,1171,-24.859375,-6.01851851852,3500.765625,3511.83333333,-1.21440972222,-7048.890625,-3037.35185185,72,1946,98,3198,B
108,258,53,61,1488,-43.4375,3.61111111111,5049.09375,4519.75925926,-2.76186342593,-23361.03125,1072.27777778,65,1755,100,3218,B
332,168,41,57,1478,-36.34375,2.75925925926,3735.3125,4355.35185185,-3.34837962963,-13839.71875,1259.87037037,63,1687,81,2575,B
271,165,39,61,806,-47.703125,-6.11111111111,2393.265625,2231.81481481,-2.84027777778,-18767.515625,-452.0,79,2108,102,3069,B
190,164,52,65,1094,0.5,-18.5185185185,3746.40625,3492.77777778,7.41637731481,-266.3125,-5039.40740741,83,2142,116,3796,B
109,163,58,65,1039,20.296875,-16.5555555556,2999.734375,3180.14814815,1.50347222222,14371.265625,-1804.0,88,2438,120,3942,B
418,159,37,65,1402,-22.1875,17.2592592593,3199.3125,4085.77777778,3.87702546296,-6871.1875,5442.37037037,71,1915,76,2451,B
341,88,42,57,1368,-30.625,-9.24074074074,3481.75,3745.68518519,-1.68373842593,-9960.0625,-1884.01851852,63,1683,99,3143,B
400,87,48,59,760,9.421875,-8.96296296296,1690.203125,2295.51851852,18.9444444444,-24.609375,-1672.96296296,75,2031,109,3467,B
182,87,65,59,981,81.671875,-32.2962962963,2691.703125,2920.0,3.49565972222,28990.890625,-8540.2962963,77,2092,117,4027,B
102,87,54,59,1054,22.640625,-15.0,2483.796875,2888.14814815,24.5329861111,6839.765625,-5018.0,67,1779,93,3064,B
273,81,47,66,1238,-55.34375,21.3148148148,3646.28125,3661.98148148,0.657118055556,-25983.03125,4489.98148148,70,1893,100,3126,B
319,16,56,50,611,-9.9375,-11.9444444444,1395.5625,1714.90740741,-9.1099537037,915.28125,-4582.5,68,1793,129,4168,B
253,11,53,53,761,13.140625,-2.27777777778,2014.953125,2084.64814815,16.185474537,3602.546875,903.944444444,74,2005,120,3922,B
109,6,54,61,1030,-12.1875,-11.9259259259,2439.0,2929.96296296,18.5622106481,-2539.3125,-3966.92592593,69,1876,109,3535,B
402,4,55,64,1034,-6.5,-9.2037037037,3278.6875,3201.64814815,3.24623842593,-6870.125,-1204.64814815,80,2074,109,3599,B
170,0,61,74,1074,20.75,-39.4444444444,2856.875,4023.55555556,-5.97395833333,14591.28125,-19191.1111111,87,2444,98,3203,B
259,268,42,52,585,-44.96875,0.0555555555556,1954.0625,2024.16666667,3.81684027778,-12159.625,-667.611111111,54,1517,82,2681,C
323,267,45,53,583,-19.984375,-7.94444444444,2052.046875,2162.72222222,0.816550925926,-7929.859375,-2348.5,59,1647,86,2744,C
187,261,51,58,1317,11.03125,13.1481481481,3667.6875,3319.14814815,19.2416087963,5551.09375,3534.03703704,74,1994,87,3026,C
386,258,50,61,775,-38.71875,9.98148148148,2577.40625,3007.75925926,0.921585648148,-11349.84375,2413.53703704,47,1242,88,2923,C
