x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
326,268,53,51,387,-0.641509433962,20.9803921569,633.622641509,1172.82352941,-1.77839437662,637.962264151,5466.62745098,70,1749,78,1907,A
262,268,49,52,300,3.63265306122,12.5576923077,417.591836735,688.673076923,0.216248037677,-680.367346939,2850.67307692,71,1766,46,1061,A
184,261,61,58,1031,39.7868852459,51.1379310345,2224.70491803,2528.44827586,5.16930469192,6474.3442623,10657.0689655,67,1778,62,1768,A
392,259,55,60,590,-0.781818181818,26.4333333333,1129.36363636,1504.63333333,-0.510303030303,-932.963636364,6782.83333333,77,2130,57,1481,A
105,257,57,63,977,8.26315789474,41.6666666667,2177.73684211,2691.38095238,-0.30492898914,3182.26315789,12367.2857143,82,2428,58,1595,A
348,168,49,58,738,1.40816326531,11.6551724138,1156.18367347,1781.65517241,0.504926108374,471.734693878,1101.06896552,75,2055,46,1051,A
267,165,61,63,404,19.131147541,20.2063492063,1209.36065574,1114.36507937,2.67421285454,5187.19672131,6719.92063492,88,2662,70,2115,A
442,164,44,60,811,19.3636363636,9.23333333333,1205.0,2089.26666667,1.81856060606,1867.36363636,3177.93333333,74,2107,36,761,A
185,164,64,63,682,6.796875,34.7142857143,1716.984375,1814.3968254,0.673363095238,494.109375,9809.0952381,89,2645,69,2130,A
106,163,60,63,703,39.9833333333,34.3174603175,2063.61666667,1933.74603175,7.99656084656,8593.68333333,11403.0793651,90,2676,71,1975,A
397,87,49,59,425,29.5510204082,7.67796610169,929.387755102,940.796610169,10.4053960567,4237.3877551,1950.86440678,83,2329,64,1588,A
340,87,42,58,641,2.28571428571,25.9827586207,809.80952381,1526.87931034,0.238916256158,-98.4285714286,5662.46551724,69,1827,39,812,A
175,87,64,74,762,81.015625,-5.78378378378,3060.546875,1858.2972973,22.5682010135,34948.421875,-2637.35135135,91,3424,76,2501,A
98,86,54,60,705,62.7222222222,30.6833333333,1572.05555556,1599.61666667,11.0064814815,9981.72222222,7402.48333333,73,1994,52,1426,A
262,84,53,62,737,36.5283018868,22.7096774194,1556.30188679,1784.12903226,4.71972002435,7168.71698113,6570.25806452,81,2309,51,1328,A
341,15,59,53,263,14.9491525424,3.67924528302,594.440677966,462.396226415,1.227054685,3044.6440678,444.962264151,72,1846,70,2171,A
266,10,57,56,372,45.1754385965,16.1071428571,1079.84210526,929.571428571,5.99686716792,11541.7017544,4507.10714286,80,2133,94,2896,A
109,5,54,60,769,40.5,-7.0,2160.12962963,1943.5,13.6839506173,8953.83333333,-2770.7,84,2399,67,1889,A
421,3,67,64,677,27.7910447761,41.09375,1830.0,1804.3125,5.29524253731,8914.14925373,11733.03125,86,2543,72,2394,A
176,0,76,72,1023,46.6578947368,21.4861111111,3334.63157895,2768.81944444,-3.80354532164,20651.2894737,-4859.18055556,100,3614,92,3479,A
321,268,46,51,428,-0.0652173913043,6.60784313725,876.326086957,1340.17647059,-1.2442455243,959.804347826,2942.60784314,67,1707,85,1945,B
259,268,40,51,373,6.875,1.49019607843,526.275,1002.2745098,-0.837745098039,1624.025,890.784313725,70,1783,62,1264,B
185,261,54,66,1338,1.40740740741,-27.7272727273,3097.81481481,4456.6969697,13.3762626263,2527.2962963,-12099.4545455,89,2962,86,2291,B
387,259,42,60,711,-17.0952380952,-3.85,1322.0,2384.38333333,-0.336507936508,-1395.23809524,-2475.95,80,2402,68,1461,B
108,258,53,61,1255,-31.8301886792,13.3278688525,3480.01886792,4290.50819672,-2.83420971234,-10088.6226415,7493.85245902,75,2284,85,2251,B
332,168,41,57,858,-8.26829268293,9.61403508772,1322.85365854,2584.84210526,-1.87248609328,-505.097560976,4750.03508772,71,2025,54,1085,B
271,165,39,61,424,-22.7435897436,-2.5737704918,747.358974359,1330.83606557,-1.1719209752,-2556.8974359,755.098360656,90,2720,64,1169,B
190,164,52,65,861,2.01923076923,-12.9692307692,2366.28846154,3265.15384615,5.78372781065,384.173076923,-3813.36923077,99,3148,95,2547,B
109,163,58,65,897,20.3620689655,-9.47692307692,2315.70689655,3183.50769231,2.50106100796,11085.6034483,-303.938461538,105,3517,108,3213,B
418,159,37,65,833,2.2972972973,13.9846153846,1033.05405405,2798.26153846,2.21288981289,992.459459459,6366.96923077,86,2839,46,846,B
341,88,42,57,788,-16.4761904762,2.0,1265.04761905,2203.47368421,-0.564745196324,-1769.9047619,2207.78947368,68,1919,66,1371,B
400,87,48,59,460,5.64583333333,-1.93220338983,742.020833333,1512.10169492,11.3185028249,123.645833333,897.966101695,84,2492,84,2010,B
182,87,65,59,884,82.3538461538,-25.6101694915,2408.50769231,2875.50847458,5.45945241199,30792.3846154,-6566.62711864,84,2460,117,4109,B
102,87,54,59,831,15.7407407407,-6.57627118644,1618.62962963,2467.05084746,20.213747646,3451.85185185,-1537.18644068,74,2154,83,2291,B
273,81,47,66,957,-32.170212766,12.1363636364,1933.10638298,3404.07575758,0.0219213410703,-6892.72340426,1195.13636364,86,2872,77,1767,B
319,16,56,50,335,-9.75,-11.14,660.25,854.14,-5.26357142857,-48.1071428571,-3206.14,68,1642,117,3277,B
253,11,53,53,456,11.9056603774,3.16981132075,1027.22641509,1250.67924528,10.1552153791,3217.94339623,2290.64150943,75,1997,105,2826,B
109,6,54,61,823,-10.3333333333,-4.03278688525,1646.2962963,2700.36065574,15.7762598664,-1213.22222222,-604.426229508,80,2456,97,2615,B
402,4,55,64,860,1.12727272727,-12.9375,2345.89090909,3078.40625,2.50568181818,-852.836363636,-4470.65625,95,2984,94,2705,B
170,0,61,74,1154,36.4918032787,-43.6216216216,2938.06557377,5938.81081081,-6.58728400532,20275.7704918,-43713.2432432,119,4644,101,3135,B
259,268,42,52,264,-21.6428571429,1.28846153846,557.404761905,875.903846154,2.17857142857,-2292.92857143,11.7884615385,52,1411,53,1120,C
323,267,45,53,294,-5.33333333333,-2.35849056604,718.133333333,1103.75471698,0.898951781971,-536.0,291.528301887,59,1634,60,1318,C
187,261,51,58,984,13.862745098,9.55172413793,2118.17647059,2605.31034483,14.7920892495,5156.33333333,3126.03448276,78,2280,68,1864,C
386,258,50,61,571,-28.84,12.4754098361,1421.08,2522.40983607,0.650491803279,-5173.96,6216.96721311,52,1554,67,1713,C
106,257,56,63,971,-15.8035714286,8.73015873016,2811.01785714,3772.22222222,-0.658163265306,-1404.91071429,6196.34920635,73,2294,76,2217,C
331,168,37,58,469,-12.7297297297,-18.5517241379,492.297297297,1480.06896552,-1.55824790308,-355.540540541,-7693.68965517,47,1392,39,735,C
261,166,49,62,313,-12.3673469388,3.95161290323,854.571428571,1495.79032258,1.56780776827,-1613.02040816,-239.241935484,54,1732,68,1662,C
110,163,55,63,562,-41.9454545455,27.5873015873,1690.74545455,2512.44444444,7.0911976912,-7876.85454545,11237.015873,66,2069,75,2103,C
185,162,55,66,568,-24.8,3.24242424242,1696.8,2650.78787879,15.3493112948,-4480.50909091,3756.33333333,73,2467,73,1949,C
415,160,47,65,639,-17.5531914894,14.0,1558.82978723,2513.47692308,-0.377414075286,33.0,6761.13846154,81,2639,59,1440,C
390,87,45,59,326,-5.86666666667,1.67796610169,668.088888889,1097.06779661,10.883992467,-737.333333333,2332.62711864,77,2285,62,1387,C
332,87,38,58,538,-8.07894736842,10.2413793103,704.184210526,1706.17241379,2.44056261343,-457.605263158,3569.06896552,65,1843,42,807,C
181,87,59,59,597,-20.6271186441,21.6779661017,1837.16949153,2582.49152542,10.4998563631,-3225.13559322,5971.54237288,52,1502,84,2546,C
105,86,53,60,642,-10.2452830189,-8.01666666667,1646.50943396,1970.95,20.5591194969,1091.94339623,290.483333333,74,2272,69,1819,C
262,82,49,64,644,-10.6326530612,8.15625,1450.87755102,2762.96875,9.56154336735,-102.469387755,3779.0625,64,2042,64,1588,C
329,17,49,49,192,-12.8163265306,1.57142857143,454.0,593.489795918,0.429820907955,-3027.63265306,958.142857143,58,1421,62,1379,C
262,8,57,58,290,-27.0701754386,10.1206896552,985.561403509,975.74137931,11.5686630369,-7208.33333333,4218.18965517,64,1856,71,1843,C
111,6,47,58,510,-12.4042553191,14.9655172414,1003.85106383,1860.13793103,8.68708730741,-1107.59574468,4181.34482759,55,1578,61,1440,C
401,3,65,65,680,-35.1538461538,20.7692307692,2312.78461538,2842.76923077,9.00686390533,-16311.4923077,10229.4461538,84,2680,93,2900,C
177,0,63,73,813,-59.3968253968,13.6575342466,3030.63492063,4902.50684932,-2.81582952816,-23636.2539683,11188.6986301,75,2688,90,2825,C
333,268,45,51,348,-1.02222222222,3.41176470588,834.711111111,1208.35294118,-0.0300653594771,2016.04444444,1810.82352941,70,1785,58,1235,D
262,268,46,52,373,5.5,-8.84615384615,885.97826087,1066.96153846,0.780936454849,3209.36956522,-2456.38461538,74,1924,55,1240,D
187,260,57,59,1236,-8.71929824561,-15.3220338983,3178.01754386,3748.23728814,10.7621171573,2523.07017544,-1124.10169492,80,2354,72,1822,D
397,259,54,60,798,-25.5,-2.25,2642.35185185,3003.45,0.533024691358,-6688.5,-1630.25,83,2508,69,1802,D
108,258,55,61,1170,-32.6727272727,9.19672131148,3782.38181818,4238.37704918,-0.891505216095,-9895.58181818,6230.01639344,80,2440,64,1696,D
352,167,43,58,803,-14.4651162791,18.8275862069,1521.1627907,2383.37931034,-3.07538091419,-776.604651163,8077.03448276,79,2351,44,894,D
282,166,47,61,413,-25.1276595745,-10.9180327869,1341.12765957,1437.7704918,3.3714684339,-4250.91489362,-3233.31147541,89,2735,59,1340,D
196,165,59,63,750,-22.8474576271,-22.9047619048,2692.61016949,2894.14285714,8.44578961528,-2944.03389831,-12901.8571429,87,2796,82,2293,D
109,163,68,65,867,-7.82352941176,-19.1384615385,3457.91176471,3464.30769231,8.4520361991,9500.85294118,-4025.38461538,104,3514,103,3315,D
441,159,42,67,880,-35.5,22.0,1723.64285714,3287.52238806,0.652096659559,-5757.21428571,12278.119403,90,2979,44,865,D
414,88,47,59,405,3.44680851064,-3.83050847458,816.0,1317.45762712,11.2329606924,1802.17021277,-842.0,88,2626,65,1440,D
354,86,40,59,677,-40.2,7.33898305085,1152.9,1958.93220339,-1.91101694915,-4873.35,3265.84745763,75,2198,42,773,D
186,86,67,62,908,61.4328358209,-46.435483871,2489.82089552,3294.62903226,6.91405873857,33692.0597015,-15188.983871,84,2575,93,3117,D
102,86,59,60,833,11.6949152542,-25.0166666667,2072.40677966,2538.51666667,26.2644067797,6561.45762712,-9151.51666667,79,2386,76,2206,D
278,81,52,67,876,-46.8269230769,29.0447761194,2741.86538462,3459.04477612,-7.02583237658,-13497.6730769,21705.9701493,93,3057,65,1606,D
344,18,51,48,262,-10.1764705882,-9.52083333333,602.843137255,622.854166667,-2.74428104575,38.0588235294,-2381.52083333,63,1531,72,1772,D
273,12,58,54,422,1.51724137931,-9.18518518519,1349.65517241,1259.7037037,13.2171136654,2724.27586207,-2637.85185185,79,2180,85,2345,D
423,6,60,59,787,-49.3,-22.7457627119,2998.26666667,2776.40677966,8.19745762712,-16189.5,-10349.0508475,79,2385,85,2440,D
106,5,59,60,785,20.5593220339,3.11666666667,1850.15254237,2804.55,11.0940677966,14337.0677966,-453.683333333,79,2386,78,2293,D
184,0,67,75,1157,-29.3134328358,-19.52,5373.94029851,6027.41333333,-0.163582089552,-3412.68656716,-18844.72,111,4295,95,3061,D
313,268,45,51,407,0.8,5.33333333333,796.4,1457.49019608,-0.780392156863,2363.6,2536.74509804,66,1674,73,1563,E
253,268,39,52,293,-4.46153846154,-0.980769230769,334.256410256,944.365384615,-0.931952662722,795.230769231,-379.557692308,53,1361,56,1108,E
182,261,51,58,1026,13.0196078431,25.8275862069,2014.11764706,2552.27586207,12.9070317782,5090.54901961,5635.0,69,2085,86,2443,E
380,258,39,61,578,-36.7948717949,-0.213114754098,912.025641026,2386.40983607,0.572509457755,-2973.1025641,3855.32786885,52,1572,63,1243,E
108,258,50,61,1055,-73.64,5.80327868852,2617.32,4201.57377049,-1.98491803279,-15775.64,6783.73770492,48,1464,89,2371,E
320,168,40,57,669,-31.475,10.2280701754,801.175,2337.42105263,-2.18377192982,-1938.425,5140.85964912,44,1254,56,1144,E
258,167,40,59,324,-36.175,2.01694915254,681.975,1396.83050847,-1.90042372881,-4427.125,2192.22033898,53,1531,68,1308,E
180,164,53,63,715,-36.8301886792,9.0,1555.47169811,3016.11111111,7.95178197065,-6710.52830189,7035.0,56,1716,95,2514,E
110,163,55,63,658,-56.2181818182,-5.96825396825,1176.65454545,2779.14285714,2.72092352092,-7688.87272727,-764.825396825,57,1815,94,2381,E
407,157,44,68,878,-97.7954545455,-19.2794117647,1695.34090909,4035.19117647,4.38770053476,-14115.9772727,-6550.01470588,55,1870,61,1272,E
379,87,53,57,333,-16.4339622642,-4.89473684211,628.622641509,1170.68421053,11.2482621648,-2314.54716981,-1722.89473684,49,1358,72,1746,E
321,87,40,58,665,-33.75,12.1724137931,874.4,2341.17241379,0.27974137931,-2655.45,1549.0,48,1378,60,1248,E
177,85,51,61,654,13.6862745098,25.4754098361,1294.66666667,2338.16393443,16.0324654452,1717.21568627,13026.1967213,55,1709,79,2151,E
102,85,59,61,710,-36.7966101695,2.24590163934,1347.33898305,2364.90163934,20.0883578772,-7001.6779661,1492.80327869,53,1588,80,2289,E
252,80,48,68,842,-69.2708333333,-11.1176470588,2001.97916667,4043.08823529,0.595588235294,-14860.7708333,-4247.38235294,60,2069,87,2073,E
326,16,45,50,263,-22.7111111111,-9.08,517.022222222,714.4,-0.761333333333,-3271.91111111,-2335.64,49,1147,90,1962,E
249,8,65,59,403,-5.41538461538,6.91525423729,901.415384615,1210.91525424,10.1608865711,232.276923077,3513.96610169,83,2377,110,3506,E
110,5,56,62,688,-53.4285714286,-4.72580645161,1434.17857143,2521.59677419,14.0872695853,-11047.3571429,-4505.40322581,64,1939,90,2416,E
396,3,59,63,822,-46.2372881356,1.73015873016,2316.10169492,3207.66666667,8.63249932741,-11843.8644068,2798.3968254,60,1865,108,3176,E
175,0,59,71,909,-51.4237288136,16.8028169014,2049.22033898,5157.22535211,-3.28956791597,-6966.98305085,13724.0985915,68,2378,102,2928,E
301,268,45,51,339,-13.5111111111,-15.137254902,541.466666667,1161.25490196,4.33638344227,-19.2444444444,-2958.43137255,56,1529,61,1205,F
240,268,38,51,247,-13.3947368421,-13.6078431373,255.236842105,658.705882353,1.87977296182,-70.5526315789,-3468.54901961,45,1224,39,733,F
178,261,44,58,761,-19.6136363636,-29.2931034483,900.068181818,2075.39655172,10.1837774295,-1051.75,-11654.5,45,1305,48,1056,F
366,258,39,61,500,-46.641025641,-29.0491803279,832.538461538,1705.21311475,4.67465321564,-3752.94871795,-11678.7868852,51,1593,45,857,F
108,258,46,62,789,-89.7826086957,-64.3064516129,1816.08695652,2677.88709677,4.44495091164,-14526.6956522,-27331.3064516,49,1519,53,1236,F
312,168,37,57,541,-24.8378378378,-24.4035087719,510.675675676,1572.01754386,4.28117591275,-534.513513514,-7921.87719298,44,1254,38,694,F
252,166,41,60,284,-41.1219512195,-24.75,638.87804878,1060.68333333,1.31707317073,-4654.82926829,-10112.35,51,1579,47,885,F
181,164,49,64,561,-49.387755102,-43.90625,1338.12244898,1975.8125,8.46651785714,-8324.97959184,-22184.65625,55,1785,61,1468,F
113,163,55,72,614,-80.1454545455,-49.2361111111,1450.58181818,2802.48611111,5.72222222222,-14260.9818182,-31900.0694444,64,2378,76,1792,F
395,158,45,67,702,-85.1777777778,-52.4776119403,1368.42222222,2827.34328358,4.34129353234,-11166.9111111,-26164.6567164,54,1809,48,970,F
409,87,53,57,268,-10.5660377358,-21.5614035088,551.20754717,836.50877193,8.94008606422,-1736.75471698,-6935.98245614,45,1287,53,1361,F
353,87,39,58,521,-35.1794871795,-30.4482758621,661.179487179,1535.48275862,5.45623342175,-1923.17948718,-12095.5172414,47,1373,42,825,F
179,86,82,76,1366,34.3536585366,-120.394736842,5393.25609756,7025.23684211,14.7301026958,12402.5487805,-81914.8421053,97,3733,156,6288,F
102,86,61,60,581,-24.3442622951,-40.8,1233.59016393,1752.23333333,17.0322404372,-6139.03278689,-14908.2,48,1445,65,1968,F
286,81,46,67,666,-83.4347826087,-63.5373134328,1721.47826087,2512.49253731,1.62946138871,-15731.5652174,-29362.4328358,58,2016,56,1278,F
304,17,46,51,236,-22.8260869565,-29.3725490196,414.347826087,635.882352941,-1.71739130435,-2394.7826087,-7791.96078431,45,1196,65,1422,F
235,7,65,59,335,-7.75384615385,-3.77966101695,781.292307692,895.677966102,10.6471968709,211.015384615,1319.6779661,68,2114,86,2712,F
111,5,53,63,527,-47.7358490566,-30.9047619048,1205.43396226,1598.65079365,10.1611260857,-9382.60377358,-14365.4761905,55,1778,61,1536,F
374,3,49,65,558,-50.8367346939,-35.6615384615,1335.7755102,1919.41538462,8.38021978022,-8753.28571429,-18000.4,57,1860,61,1467,F
168,2,56,70,691,-41.2321428571,-86.0571428571,1220.58928571,3317.14285714,1.63316326531,-3816.41071429,-50014.4571429,60,2150,66,1841,F
263,268,42,52,317,-5.02380952381,11.3269230769,733.452380952,944.057692308,-0.783882783883,-148.30952381,1066.51923077,61,1547,59,1279,G
328,267,47,53,355,0.382978723404,6.24528301887,862.042553191,1175.30188679,-0.598153352067,-775.531914894,1324.09433962,64,1684,73,1703,G
190,261,52,69,1252,11.1923076923,27.9130434783,2611.65384615,4198.11594203,12.0217391304,3566.53846154,11195.6521739,94,3224,83,2182,G
392,258,56,62,654,-19.0178571429,26.3387096774,2186.94642857,2619.79032258,-5.51008064516,-4148.625,7728.59677419,70,1998,73,1986,G
106,257,59,63,1166,15.2881355932,21.253968254,3719.28813559,4151.34920635,-3.07398439602,7615.3559322,8087.73015873,77,2394,94,2934,G
342,168,44,58,715,0.545454545455,12.5862068966,1301.90909091,2168.86206897,-9.55564263323,217.090909091,216.896551724,64,1776,57,1277,G
267,166,54,60,434,-1.14814814815,18.7166666667,1363.55555556,1964.75,0.547839506173,-1400.25925926,3529.81666667,71,1973,77,2049,G
110,163,57,71,781,19.5087719298,14.7746478873,2331.33333333,2736.71830986,2.79886335557,3552.35087719,-5597.16901408,94,3258,103,3066,G
186,162,57,71,764,21.4736842105,4.42253521127,2482.0,3043.04225352,5.61675315048,5610.63157895,-9103.23943662,93,3140,84,2441,G
433,158,51,78,1275,34.8823529412,-10.2564102564,3269.90196078,4340.64102564,-6.27702362996,9736.17647059,-11942.9487179,117,4623,81,2138,G
